TABLE,RESPONSE,GROUP,GROUP WEIGHTED %,Year
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Cape Breton,1,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Rest of mainland,39,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Rest of mainland,57,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Rest of mainland,3,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Rest of mainland,1,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Rest of mainland,0,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,GENDER: M,39,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,GENDER: M,53,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,GENDER: M,7,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,GENDER: M,1,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,GENDER: M,1,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,GENDER: F,45,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,GENDER: F,52,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,GENDER: F,2,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,GENDER: F,1,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,GENDER: F,0,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 18- 34,33,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 18- 34,63,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 18- 34,4,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 18- 34,0,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 18- 34,0,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 35- 54,38,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 35- 54,53,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 35- 54,7,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 35- 54,2,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 35- 54,0,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 55+,51,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 55+,46,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 55+,2,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 55+,1,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 55+,1,2018
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,NOVA SCOTIA %,47,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,NOVA SCOTIA %,47,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,NOVA SCOTIA %,4,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,NOVA SCOTIA %,1,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,NOVA SCOTIA %,1,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Halifax,43,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Halifax,51,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Halifax,5,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Halifax,0,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Halifax,2,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Cape Breton,62,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Cape Breton,33,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Cape Breton,2,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Cape Breton,0,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Cape Breton,3,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Rest of mainland,46,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Rest of mainland,47,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Rest of mainland,5,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Rest of mainland,2,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Rest of mainland,0,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,GENDER: M,46,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,GENDER: M,48,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,GENDER: M,3,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,GENDER: M,2,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,GENDER: M,0,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,GENDER: F,47,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,GENDER: F,45,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,GENDER: F,5,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,GENDER: F,0,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,GENDER: F,2,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 18- 34,28,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 18- 34,57,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 18- 34,9,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 18- 34,4,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 18- 34,1,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 35- 54,47,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 35- 54,47,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 35- 54,5,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 35- 54,0,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 35- 54,2,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 55+,59,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 55+,40,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 55+,1,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 55+,0,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 55+,0,2017
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,NOVA SCOTIA %,41,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,NOVA SCOTIA %,50,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,NOVA SCOTIA %,7,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,NOVA SCOTIA %,2,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,NOVA SCOTIA %,1,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Halifax,38,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Halifax,54,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Halifax,7,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Halifax,1,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Halifax,1,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Cape Breton,42,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Cape Breton,48,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Cape Breton,6,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Cape Breton,2,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Cape Breton,1,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Rest of mainland,43,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Rest of mainland,48,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Rest of mainland,7,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Rest of mainland,2,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Rest of mainland,1,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,GENDER: M,36,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,GENDER: M,51,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,GENDER: M,9,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,GENDER: M,2,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,GENDER: M,1,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,GENDER: F,45,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,GENDER: F,50,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,GENDER: F,4,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,GENDER: F,1,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,GENDER: F,0,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 18- 34,49,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 18- 34,44,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 18- 34,7,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 18- 34,0,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 18- 34,0,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 35- 54,38,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 35- 54,54,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 35- 54,5,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 35- 54,4,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 35- 54,0,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,AGE: 55+,39,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,AGE: 55+,51,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,AGE: 55+,8,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,AGE: 55+,1,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,AGE: 55+,1,2016
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,NOVA SCOTIA %,7,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,NOVA SCOTIA %,42,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,NOVA SCOTIA %,34,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,NOVA SCOTIA %,9,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,NOVA SCOTIA %,8,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,REGION: Halifax,5,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,REGION: Halifax,43,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,REGION: Halifax,34,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,REGION: Halifax,8,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,REGION: Halifax,10,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,REGION: Cape Breton,5,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,REGION: Cape Breton,45,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,REGION: Cape Breton,35,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,REGION: Cape Breton,11,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,REGION: Cape Breton,4,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,REGION: Rest of mainland,10,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,REGION: Rest of mainland,40,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,REGION: Rest of mainland,34,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,REGION: Rest of mainland,10,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,REGION: Rest of mainland,7,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,GENDER: M,7,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,GENDER: M,42,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,GENDER: M,34,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,GENDER: M,10,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,GENDER: M,8,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,GENDER: F,7,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,GENDER: F,42,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,GENDER: F,34,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,GENDER: F,9,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,GENDER: F,8,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,AGE: 18- 34,7,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,AGE: 18- 34,38,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,AGE: 18- 34,40,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,AGE: 18- 34,13,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,AGE: 18- 34,1,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,AGE: 35- 54,5,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,AGE: 35- 54,44,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,AGE: 35- 54,34,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,AGE: 35- 54,10,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,AGE: 35- 54,8,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,AGE: 55+,8,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Good,AGE: 55+,42,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Fair,AGE: 55+,31,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Poor,AGE: 55+,7,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Don’t know/Not sure,AGE: 55+,12,2020
How would you rate Nova Scotia’s tourism industry with respect to: Career opportunities?,Excellent,NOVA SCOTIA %,5,2019
